CandidateID,exper,incent,ticket,member,earning fm,depend,work,Graduate,language_sorted,detected_languages,sentiment,CV_Score_1_to_5,Performance
EMP0669,5,15000,1000000,1,1,1,1,1,1,"['English', 'Hindi', 'Telugu']",1,4.221938523,0
EMP0273,1.5,8000,125000,3,2,4,1,1,1,"['English', 'Tamil']",1,3.832907785,1
EMP0300,4.5,2000,2000000,3,1,2,1,0.08,1,"['English', 'Tamil']",1,3.555863781,1
EMP0100,4.5,15000,2000000,3,2,3,1,0.43,-1,[],1,2.237820118,1
EMP0319,1,0,0,3,1,3,1,0.43,1,"['English', 'Tamil']",1,2.572464781,0
EMP0110,10,5000,125000,1,1,3,1,0.43,-1,[],1,2.972372735,0
EMP0034,2,15000,2000000,5,3,3,1,1,1,"['English', 'Hindi']",1,4.344802473,1
EMP0918,6.5,15000,1200000,3,,2,1,1,1,"['English', 'Hindi', 'Telugu']",1,3.555863781,0
EMP0235,2,15000,2000000,3,2,2,1,0.43,1,"['English', 'Tamil']",1,2.572464781,0
EMP0582,3,8000,2000000,5,0,4,1,1,-1,[],1,2.183434043,0
EMP0689,3,15000,2000000,5,2,5,1,1,-1,[],1,3.86553943,1
EMP0426,2,8000,125000,3,0,3,1,1,1,"['English', 'Hindi', 'Telugu']",1,2.572464781,1
EMP0268,7,8000,2000000,1,1,1,1,0.43,-1,[],1,3.166833042,0
EMP0124,9,15000,1000000,3,1,2,1,1,0,['English'],1,2.572464781,0
EMP0230,15,0,125000,3,1,3,0.5,1,-1,[],-1,3.329991269,1
EMP0206,2.5,5000,1000000,5,2,0,1,1,1,"['English', 'Tamil']",1,3.166833042,1
EMP0174,6,15000,0,3,20000,2,1,1,-1,[],1,3.86553943,0
EMP0593,6,15000,400000,3,0,3,1,1,1,"['English', 'Telugu']",1,3.166833042,0
EMP0548,5,5000,1000000,5,3,3,1,0.43,1,"['English', 'Tamil']",1,3.832907785,0
EMP0448,5,5000,25000,3,1,4,1,0.43,1,"['English', 'Hindi']",1,3.854662215,1
EMP0407,8,5000,125000,3,1,3,1,0.43,1,"['English', 'Hindi']",1,2.183434043,1
EMP0659,7,15000,400000,3,0,3,1,1,1,"['English', 'Hindi', 'Kannada', 'Marathi', 'Telugu']",1,3.555863781,0
EMP0677,3,5000,1000000,5,2,4,1,1,1,"['English', 'Kannada']",1,3.166833042,1
EMP0781,0,5000,400000,5,,2,1,1,1,"['English', 'Hindi', 'Telugu']",1,4.221938523,1
EMP0251,3,5000,400000,3,1,3,1,1,1,"['English', 'Tamil']",1,3.577618211,0
EMP0683,5,15000,1000000,3,3,1,1,0.43,1,"['English', 'Hindi']",1,3.838671374,0
EMP0745,5.083333333,5000,25000,1,,2,1,1,-1,[],1,4.243692953,0
EMP0117,7,15000,2000000,3,0,5,1,1,1,"['English', 'Hindi', 'Gujarati']",1,2.183434043,0
EMP0705,8,8000,1000000,1,1,2,0.5,1,1,"['English', 'Hindi', 'Marathi']",1,3.166833042,1
